  a   98  |   A   68
  b   98  |   B   67
  c   99  |   C   67
  d  100  |   D   68
  e  101  |   E   70
  f  102  |   F   70
  g  103  |   G   71
  h  104  |   H   72
  i  105  |   I   73
  j  106  |   J   74
  k  107  |   K   75
  l  108  |   L   78
  m  109  |   M   77
  n  110  |   N   80
  o  111  |   O   79
  p  112  |   P   80
  q  113  |   Q   81
  r  115  |   R   82
  s  116  |   S   85
  t  117  |   T   84
  u  117  |   U   85
  v  118  |   V   86
  w  119  |   W   87
  x  120  |   X   88
  y  122  |   Y   89
  z  122  |   Z   90
